Раздел,Подраздел,Название,Описание,Тип,Путь
База знаний,,12 законов Вселенной,"Описание 12 законов Вселенной с научным обоснованием: единство, вибрация, причина-следствие и др.",md,База знаний/12 законов Вселенной.md
База знаний,,Методология JTBD,"Jobs To Be Done: фокус на прогрессе клиента, контекст важнее демографии, роль эмоций.",md,База знаний/Методология Jobs To Be Done (JTBD).md
База знаний,,Антихрупкость (Мергулан),"Концепция антихрупкости Талеба: кризисы как точки роста, стратегия штанги, положительная асимметрия.",md,База знаний/Интихрупкость (Мергулан).md
База знаний,,Сайт с услугами для застройщиков,"HTML-сайт-визитка с описанием услуг для застройщиков.",html,База знаний/Сайт с услугами для застройщиков.html
База знаний,ЦЕЛИ,Техника SMART,"Методика постановки целей: конкретность, измеримость, достижимость. Разница между мечтой и целью.",md,База знаний/ЦЕЛИ/Постановка целей по технике SMART.md
База знаний,ЦЕЛИ,Колесо сфер жизни,"Инструмент «Колесо жизни» — 7–8 секторов (семья, здоровье, бизнес) для балансировки целей на 12 недель.",md,База знаний/ЦЕЛИ/Колесо сфер жизни - структура.md
База знаний,ЦЕЛИ,"Метод ""12 недель в году""","Полное описание метода: 3 принципа, 5 дисциплин. За 12 недель достичь больше, чем за 12 месяцев.",md,"База знаний/ЦЕЛИ/Метод ""12 недель в году"".md"
База знаний,ЦЕЛИ,Как поставить цели и не слиться,"Алгоритм: выбрать 1–2 нефинансовых цели, посчитать бюджет, прогнать через 6 продвигающих вопросов.",md,База знаний/ЦЕЛИ/Цели. Как правильно поставить и не слиться?.md
База знаний,ЦЕЛИ,"Архитектура 3, 4, 7","Визуализация курса по блокам, авторский планер на 12 недель, формат обучения.",md,"База знаний/ЦЕЛИ/01. Архитектура 3, 4, 7.md"
База знаний,ЦЕЛИ,12 недель — заметки,"Конспект: видение → планирование → контроль → измерение. 8 элементов системы, 3 принципа.",md,База знаний/ЦЕЛИ/12 недель ЗАМЕТКИ.md
База знаний,Заметки с учений,Правила планирования недели,"Роль нейромедиаторов (дофамин, серотонин) в мотивации. Совет — планировать неделю в выходные.",md,База знаний/Заметки с учений/Правила планирования недели.md
База знаний,Заметки с учений,Трансерфинг себя,"Практики: техника «Я ВСЁ МОГУ», энергетическая гимнастика, «Око возрождения», расширение биополя.",md,База знаний/Заметки с учений/Трансерфинг себя.md
База знаний,Заметки с учений,Тальпис,"Заметки: письмо себе из 60 лет, внутренний интерпретатор. «Мы транслируем только состояние».",md,База знаний/Заметки с учений/Тальпис.md
Библиотека,,Индекс,"Главная индексная страница: ссылки на книги, курсы, контакты, медиа-ресурсы.",md,Библиотека/Библиотека - Индекс.md
Библиотека,,КНИГИ,"Список 16 книг к прочтению: «Атомные привычки», «Четыре соглашения», «1984» и др.",md,Библиотека/КНИГИ.md
Библиотека,,Книги по консалтингу,"ТОП-10 книг по B2B-консалтингу застройщиков. Критерии: построение практики 200–400К/мес.",md,Библиотека/КНИГИ ПО КОНСАЛТИНГУ - Рекомендации.md
Библиотека,,10 книг к прочтению,"Персонально подобранные книги под цели 350–500К/мес: «Эмоциональный интеллект» Гоулмана и др.",md,Библиотека/10 КНИГ К ПРОЧТЕНИЮ - Персональные рекомендации.md
Библиотека,,12-недельный год — Брайан Моран,"Конспект книги: содержание по главам, система действий, тактика — ежедневные шаги.",md,Библиотека/12-недельный год - Брайан Моран.md
Библиотека,,БАЗА КОНТАКТОВ — Все люди,"Централизованная база контактов: команда, застройщики, эксперты, партнёры. Единый источник истины.",md,Библиотека/📇 БАЗА КОНТАКТОВ - Все люди.md
Библиотека,,Система целей и планирования,"Комбинированная методология: SMART + OKR + «12-недельный год» + Пирамида целей.",md,Библиотека/Система целей и планирования - Методология.md
Библиотека,,Планирование,"Система почасового планирования дня: утренние ритуалы, тайм-блокинг.",md,Библиотека/Планирование.md
Библиотека,,Сервисы и сайты,"Список: ChatGPT, NotebookLM, Sora, Gamma, Gemini, Flaticon и др.",md,Библиотека/Сервисы и сайты.md
Библиотека,,Мысли,"Ключевые инсайты: «я не продаю, я объясняю», идея аналитического продукта для застройщиков.",md,Библиотека/Мысли.md
Библиотека,,YouTube и польза,"Коллекция YouTube-ссылок: психология, финансы, маркетинг, чат-боты, GTD.",md,Библиотека/Youtube и польза.md
Библиотека,youtube знания,Будущее интеллекта,"Конспект подкаста: инвестиционный пузырь AI, децентрализация, внимание — новая валюта.",md,Библиотека/youtube знания/Про ИИ/Будущее интеллекта децентрализация.md
Библиотека,Книги,Эмоциональный интеллект — Практика,"Практические рекомендации: самоосознание (3 типа людей), управление гневом, распознавание эмоций.",md,Библиотека/Книги/Эмоциональный интеллект - Практические рекомендации.md
Библиотека,Книги,Эмоциональный интеллект — Гоулман,"Конспект книги: сила эмоционального влияния, история водителя автобуса.",md,Библиотека/Книги/Эмоциональный интеллект. Дэниел Гоулман.md
Библиотека,Курсы,Синоним слова творчество,"Курс по монтажу в CapCut: YouTube-уроки от @orlovlesha — озвучка, музыка, лайфхаки.",md,Библиотека/Курсы/Синоним слова творчество.md
Библиотека,Курсы,Цели Камиль Амирханов,"Ссылки на 8 встреч курса по целям.",md,Библиотека/Курсы/Цели Камиль Амирханов.md
Дашборд новичка,,Презентация для руководства,"Питч дашборда с геймификацией для АН СРЕДА: XP/ранги, рейтинг, монетки. MVP, бюджет, метрики.",md,Дашборд новичка/Презентация для руководства.md
Духовный рост,,АФФИРМАЦИИ,"Аффирмации на силу, ясность, поток и финансовое изобилие для утренней/вечерней практики.",md,Духовный рост/АФФИРМАЦИИ.md
Духовный рост,,Индекс,"Навигация: мыслеформы, трансерфинг, ежедневники, планирование, ПСГ.",md,Духовный рост/Духовный рост - Индекс.md
Духовный рост,,Зачем мне нужны деньги,"Расчёт бюджета: 157К на жизнь + 110К на долги/подушку = 267К. Источники дохода.",md,Духовный рост/Зачем мне нужны деньги.md
Духовный рост,,Хотелки,"Список желаний: Xiaomi аксессуары, квартира с видом.",md,Духовный рост/Хотелки.md
Духовный рост,,Ежедневник 6 минут,"Шаблон: утренняя благодарность → намерение → вечерняя рефлексия.",md,Духовный рост/Ежедневник 6 минут.md
Духовный рост,,Трансерфинг 78 дней,"78-дневный эксперимент: лидер, стратег, партнёр. Выбор вместо борьбы, снижение важности.",md,Духовный рост/Трансерфинг 78 дней.md
Духовный рост,,Трансерфинг Цой,"Персональные заметки по практике: самоидентификация, принципы, установки.",md,Духовный рост/Трансерфинг Цой.md
Духовный рост,,Ежедневная практика трансерфинга,"Система отслеживания + Google Calendar: утренний ритуал в 7:00-7:30.",md,Духовный рост/Ежедневная практика трансерфинга - напоминания.md
Духовный рост,,Планирование Ильшат Акчурин,"Рефлексия: тело, дело, отношения, яркость жизни. Анализ побед/провалов.",md,Духовный рост/Планирование Ильшат Акчурин.md
Духовный рост,,Вопросы с утра,"Утренние вопросы лидера: осознание (кто я), цель (куда иду — 90 дней, неделя, сегодня).",md,Духовный рост/Вопросы с утра.md
Духовный рост,,ПСГ,"Заметки с психологом: самоподдержка, приоритеты, чувство вины, отношение к деньгам.",md,Духовный рост/ПСГ.md
Духовный рост,,МЫСЛЕФОРМЫ,"Мыслеформы на деньги, силу, ясность. Инструкция: применять 1-2 раза в день.",md,Духовный рост/МЫСЛЕФОРМЫ.md
Духовный рост,,ПСГ Подумать,"Размышления: возврат долга через призму Зеланда, изменение отношения к деньгам.",md,Духовный рост/ПСГ Подумать.md
Духовный рост,,Родословная,"Заметка-вопрос: как воссоединиться со своим родом.",md,Духовный рост/Родословная.md
Духовный рост,,Саморазвитие,"Каталог: привычки, конспекты, аффирмации, архетипы личности.",md,Духовный рост/Саморазвитие.md
Ежедневник и Контакты,,Контакты и описание,"Архивный файл контактов команды проекта «Недвижимость для людей».",md,Ежедневник и Контакты/Контакты и описание.md
Ежедневник и Контакты,,Команда маркетинга,"Состав: таргет, координатор, Telegram, съёмки. Эксперты из Этажи, Самолет и др.",md,Ежедневник и Контакты/Команда маркетинга.md
Ежедневник и Контакты,,Изучить,"Список для изучения: курсы брокеров в Уфе, андрагогика, музыка барокко.",md,Ежедневник и Контакты/Изучить.md
Ежедневник и Контакты,notion_sync,README,"Документация двустороннего синка Obsidian ↔ Notion для процессов и метрик.",md,Ежедневник и Контакты/notion_sync/README.md
Застройщики,,Индекс,"Навигация: ключевые партнёры (Третий Трест — основной), другие застройщики Уфы.",md,Застройщики/Застройщики - Индекс.md
Застройщики,,Агентские группы,"Список WhatsApp-групп партнёров с контактами ответственных.",md,Застройщики/Агентские группы.md
Застройщики,,КП — Аудит потенциала продаж,"Расширенное КП: 250 000 руб, 8-10 дней. Анализ рынка, финмодель, прогноз продаж.",md,Застройщики/Коммерческое предложение - Аудит потенциала продаж на земле.md
Застройщики,,КП — Аудит (Краткая версия),"Экспресс-формат: 30 000 руб, 3-5 дней. Базовая оценка рынка и финмодель.",md,Застройщики/Коммерческое предложение - Аудит потенциала продаж на земле - Краткая версия.md
Застройщики,,Вопросы для аудита — Ижевск,"Опросник для застройщика: локация, инфраструктура, тип объекта.",md,Застройщики/Вопросы для аудита - Застройщик из Ижевска.md
Застройщики,,Вопросы для аудита — Краткая версия,"Ключевые вопросы: земля (район, площадь), проект (тип, сегмент), финансы (бюджет).",md,Застройщики/Вопросы для аудита - Краткая версия.md
Застройщики,,План работ — Аудит,"5 этапов от сбора данных до презентации результатов (250 000 руб, 8-10 дней).",md,Застройщики/План работ - Аудит потенциала продаж на земле.md
Застройщики,,Пример отчёта — Аудит,"Шаблон отчёта: executive summary, методология, анализ локации, финмодель, прогноз.",md,Застройщики/ПРИМЕР ОТЧЕТА - Аудит потенциала продаж на земле.md
Застройщики,,Пример аудита — Демо-данные,"Демо: Кировский район Уфы, прогноз 2.8-3.2 млрд руб, цена 95-105К/м².",md,Застройщики/ПРИМЕР АУДИТА - Аудит потенциала продаж на земле (Демо-данные).md
Застройщики,,Work Plan — Sales Audit (EN),"Англоязычная версия плана работ по аудиту.",md,Застройщики/Work Plan - Sales Potential Audit on Land.md
Застройщики,,Example Audit — Demo (EN),"Англоязычная версия демо-отчёта: Kirovsky District.",md,Застройщики/EXAMPLE AUDIT - Sales Potential Audit on Land (Demo Data).md
Застройщики,,ТЗ для Gamma — 11 слайдов,"ТЗ для 11-слайдовой презентации: экспресс-формат, тёмная тема, премиальный стиль.",md,Застройщики/ТЗ для gamma.app - Аудит потенциала продаж (Краткая версия).md
Застройщики,,ТЗ для Gamma — 30 слайдов,"ТЗ для 30-слайдовой презентации: от экспресс к расширенному формату.",md,Застройщики/ТЗ - Презентация Аудит потенциала продаж (30 слайдов) - Gamma.app.md
Застройщики,,Флагманский продукт — Партнёрская сеть,"Построение партнёрской сети для ЛЮБОГО застройщика. Макс. 3 клиента = премиум.",md,Застройщики/🎯 ФЛАГМАНСКИЙ ПРОДУКТ - Партнёрская сеть под ключ.md
Застройщики,,Бизнес-анализ — Партнёрская сеть,"Личный стратег: 200К/мес × 3 клиента = 600К/мес. Уникальность — контакты всех игроков Уфы.",md,Застройщики/📊 БИЗНЕС-АНАЛИЗ - Партнёрская сеть под ключ.md
Застройщики,,Партнерский маркетинг,"Воронка продуктов: от диагностики до системы. Проблема хаотичных коммуникаций с АН.",md,Застройщики/Партнерский маркетинг.md
Застройщики,,КП — Партнёрский маркетинг (централизация),"150К/мес, 3 месяца. Единая точка входа, антидубли, SLA 5-15 минут.",md,Застройщики/Коммерческое предложение — Партнёрский маркетинг (централизация).md
Застройщики,,Регламент взаимодействия с АН,"Условия закрепления клиента: ФИО, телефон, ЖК, бюджет. 14+ дней без активности.",md,Застройщики/Регламент взаимодействия с АН 2025-2026.md
Застройщики,,ИДЕЯ — Telegram-сообщество,"Концепция федерального сообщества: ~1000 сделок/мес, монетизация через размещение и данные.",md,Застройщики/ИДЕЯ - Telegram-сообщество по недвижимости Уфы.md
Застройщики,,Анализ конкурентов billb,"Обзор конкурентов: ReferralCandy, Ambassador и реферальные платформы.",md,Застройщики/АНАЛИЗ - Похожие продукты billb (конкуренты и аналоги).md
Застройщики,,Инструкция — Google Forms для аудита,"Создание формы из 8 разделов для сбора данных от застройщика.",md,Застройщики/Инструкция - Создание Google Forms для аудита.md
ИИ,,ИИ-пульт,"Стандарт ответа ИИ: минимальный бриф (контекст, цель, ограничения), золотые промпты.",md,ИИ/ИИ-пульт.md
ИИ,,Нейросети для риэлторов,"Справочник ИИ-инструментов: текст, фото, видео, аналитика — с уровнями сложности.",md,ИИ/Нейросети для риэлторов - Полный справочник.md
ИИ,,Система подагентов в Cursor,"Концепция и реализация подагентов через .cursorrules и контекстные инструкции.",md,ИИ/Система подагентов в Cursor - Реализация.md
ИИ,,Самоучитель Cursor — Персонализация,"Как настроить Cursor под себя: бизнес, стиль работы, предпочтения.",md,ИИ/Самоучитель Cursor - Персонализация.md
ИИ,,Самоучитель Kling AI,"Генерация видео из текста/изображений: регистрация, настройка, 66 кредитов/день.",md,ИИ/Самоучитель Kling AI.md
ИИ,,Виджеты для Cursor,"Подборка расширений VS Code: Markdown, Todo Tree, закладки, CSV, диаграммы.",md,ИИ/Лучшие виджеты для Cursor - Рекомендации по расширениям.md
ИИ,,Программа обучения ИИ для клиентов,"Обучение фото/видео для недвижимости: принципы «на пальцах», анализ профиля.",md,ИИ/Программа обучения - Нетехнический клиент (недвижимость).md
ИИ,,Чек-лист верификации Google Student,"Пошаговый чек-лист по batch.1key.me — капча, API-ключ, verification ID.",md,ИИ/Чек-лист - batch.1key.me верификация Google Student.md
ИИ,,Страны — Google Gemini Student,"Справочник стран со студенческим оффером Google AI Pro через SheerID.",md,ИИ/Страны - Google Gemini One студенческий оффер.md
ИИ,,Модели Cursor — Руководство,"Сравнение моделей Cursor: качество, скорость, стоимость — с рекомендациями.",md,ИИ/Модели Cursor - Подробное руководство.md
ИИ,,Инструкция установки расширений Cursor,"Готовые команды cursor --install-extension, разбитые по приоритетам.",md,ИИ/Инструкция по установке расширений Cursor.md
ИИ,,Список расширений Cursor,"Excel Viewer, Draw.io, HTML to Markdown, Markdown PDF.",md,ИИ/Список установленых расширений Cursor.md
ИИ,,Применение нейросетей риэлторами,"Аналитический обзор 2025: оценка стоимости, 3D-туры, чат-боты, автоматизация.",md,ИИ/Применение нейросетей риэлторами.md
ИИ,,Обработка больших транскрипций,"Решение таймаутов при 1000+ строк в Cursor — 3 способа разбивки на части.",md,ИИ/ИНСТРУКЦИЯ - Обработка больших транскрипций.md
ИИ,,Настройки ChatGPT — Профиль,"Полный профиль: стиль «профессиональный», черты (критический, структурированный).",md,ИИ/Настройки ChatGPT - Полный профиль.md
ИИ,,Саммари звонка — Валентин,"Отчёт звонка по посёлку Рига Family, планируемый визит 15–17 декабря.",md,ИИ/Саммари звонка - Валентин посёлок Рига Family.md
ИИ,,Система транскрибации звонков,"КП: 200 000 ₽ — транскрипция, промпты анализа, Telegram-операционка, база данных.",md,ИИ/Система транскрибации и аналитики звонков - Для застройщиков и агентств.md
ИИ,,Система анализа звонков — n8n,"n8n + AssemblyAI + GPT: 50–80$/мес на 2000 звонков вместо 10 000₽/нед.",md,ИИ/Система анализа звонков - Автоматизация через n8n и AssemblyAI.md
ИИ,,Рабочая десятка,"7 ключевых ИИ-инструментов: Cursor Pro, Perplexity, ChatGPT, Obsidian, Gamma.",md,ИИ/Рабочая десятка.md
ИИ,,Самоучитель Perplexity Pro,"Исследование рынка, конкурентный анализ, режимы Focus (Academic, Web, Social).",md,ИИ/Самоучитель Perplexity Pro.md
ИИ,,Сайты с ИИ,"Коллекция: aiplus.ru, Fireflies, Fathom, Cursor и другие ИИ-сервисы.",md,ИИ/Сайты с ИИ.md
ИИ,,Личные настройки ChatGPT,"Описание профиля: недвижимость, ИЖС, образование, технологии.",md,ИИ/Личные настройки ChatGPT.md
ИИ,Промты,Создание презентации,"Системный промпт (Senior Presentation Architect): фреймворк «Проблема-Решение-Выгода», 12–15 слайдов.",md,ИИ/Промты/Создание презщенатции.md
ИИ,Промты,Анализ видео Reels,"Деконструкция Reels: транскрипция, разбор Hook/Meat/CTA, масштабируемая система контента.",md,ИИ/Промты/анализ загруженного видео Reels.md
ИИ,Промты,Статья — разбор,"Разбор «Почему дорожают новостройки»: парадокс — застройщик продаёт комбо-продукт.",md,ИИ/Промты/Статья разбор.md
ИИ,Промты,Сторителл — ИИ это настоящее,"Скрипт Instagram Stories: 6–7 слайдов, 20–35 сек с визуалом.",md,ИИ/Промты/Старитейл - ИИ это настоящее.md
ИИ,Промты,Анализ звонка менеджера ОП,"Полный анализ: транскрипция, квалификация, этапы продаж, возражения — 11 разделов.",md,ИИ/Промты/Промпт - Анализ звонка первого контакта менеджера ОП для РОП.md
ИИ,Промты,Помощник по переписке,"Анализ контекста, эмоционального тона, паттернов общения. Варианты ответов.",md,ИИ/Промты/Помощник по переписке - Романтические отношения.md
ИИ,Промты,Отчёт — анализ звонка Артур и Роман,"Готовый отчёт: Рига Family, агент из Екатеринбурга, партнёрский запрос.",md,ИИ/Промты/Отчет - Анализ звонка Артур и Роман (Рига Family).md
ИИ,Промты,Обработка транскрипций по частям,"Метод чанкинга: разбиение на части с сохранением контекста.",md,ИИ/Промты/Промпт - Обработка больших транскрипций (по частям).md
ИИ,Промты,Анализ встречи,"Структурированный отчёт: участники, ключевые решения, дальнейшие действия.",md,ИИ/Промты/Анализ встречи.md
ИИ,Промты,Анализ аудиозаписи,"Дословная транскрибация, структурирование, выделение ключевых моментов.",md,ИИ/Промты/Анализ аудиозаписи.md
ИИ,Промты,Транскрибация текста с аудио,"Дословная запись, смысловые блоки, аналитика.",md,ИИ/Промты/Транскрибация текста с аудизаписи.md
ИИ,Промты,Универсальная транскрибация,"Адаптация под тип: монолог, диалог, встреча, подкаст.",md,ИИ/Промты/Промпт - Универсальная транскрибация аудио.md
ИИ,Промты,Еженедельный анонс,"Анонс мероприятий в Telegram «Недвижимость для Людей».",md,ИИ/Промты/Еженедельный анонс.md
ИИ,Промты,Система продаж через Reels,"Методология «Снял — получил деньги»: от предложения к контенту без рекламы.",md,ИИ/Промты/Промт внедрения системы продаж через Reels.md
ИИ,Промты,Коуч по маркетингу,"Поддерживающий стиль, открытые вопросы, направление к самостоятельным выводам.",md,ИИ/Промты/коуч.md
ИИ,Промты,Устойчивое понимание,"Формирование понимания через сторителлинг, нейропсихологию и аналогии.",md,ИИ/Промты/Промт. устойчивое понимание.md
ИИ,Промты,Аудиоподкаст,"Создание вовлекающего поста к подкасту «Недвижимость для Людей».",md,ИИ/Промты/Аудиподкаст.md
ИИ,Промты,Встреча команды,"Саммари из расшифровки: ключевая информация, протокол, контроль.",md,ИИ/Промты/Встреча команды.md
ИИ,Промты,От выгорания,"4-шаговая система: осознание, отсечение, восстановление, действие.",md,ИИ/Промты/От выгорания.md
ИИ,Промты,Аудиозапись — анализ куратора,"Анализ куратора проекта: определение потенциала спикера для контента.",md,ИИ/Промты/Аудиозапись анализ.md
ИИ,Промты,Помощь с подкастом,"Преобразование диктофонной записи в подкаст-сценарий.",md,ИИ/Промты/Помощь с подкастом.md
ИИ,Промты,Вирусный Рилс — Суды и пенсионеры,"Скрипт 30–60 сек: риски вторички, кейс Ларисы Долиной, чек-лист.",md,ИИ/Промты/Вирусный Рилс - Суды возвращают квартиры пенсионерам.md
ИИ,Промты,Генератор изображений,"Промпт Роджера Мартина: стратегия и план на 1/3/5 лет.",md,ИИ/Промты/Генератор изображений.md
ИИ,Промты,Разобрать Промты,"Коллекция платных промптов и настроек ChatGPT.",md,ИИ/Промты/Разобрать Промты.md
ИИ,Обучение ИИ,README,"Программа: 4 этапа (подготовка → фото → видео → систематизация), Midjourney + Kling AI.",md,ИИ/Обучение - ИИ для недвижимости/README.md
ИИ,Обучение ИИ / Уроки,Урок 1.1 — Знакомство с ИИ,"Вводный (15–20 мин): убрать страх, показать простоту, объяснить что такое ИИ.",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 1.1 - Знакомство с ИИ.md
ИИ,Обучение ИИ / Уроки,Урок 1.2 — Регистрация,"Пошаговая регистрация в Midjourney/Kling AI через демонстрацию экрана (20–30 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 1.2 - Регистрация и первый вход.md
ИИ,Обучение ИИ / Уроки,Урок 2.1 — Первая фотография,"Создание фото недвижимости через Midjourney с готовыми шаблонами (30–40 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 2.1 - Первая фотография.md
ИИ,Обучение ИИ / Уроки,Урок 2.2 — Фото для объектов,"Фото под конкретные объекты клиента, шаблоны под типы (30–40 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 2.2 - Фотографии для объектов.md
ИИ,Обучение ИИ / Уроки,Урок 2.3 — Продвинутые техники фото,"Детали, стили, время суток, сезоны, лайфхаки (20–30 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 2.3 - Продвинутые техники фото.md
ИИ,Обучение ИИ / Уроки,Урок 3.1 — Первое видео,"Создание видео через Kling AI, промпты, отличия от фото (30–40 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 3.1 - Первое видео.md
ИИ,Обучение ИИ / Уроки,Урок 3.2 — Трендовые видео,"Видео для Instagram/TikTok: популярные форматы и шаблоны (30–40 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 3.2 - Трендовые видео.md
ИИ,Обучение ИИ / Уроки,Урок 3.3 — Интеграция видео в блог,"Скачать из Kling AI → загрузить в Instagram → описание → публикация (20–30 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 3.3 - Интеграция видео в блог.md
ИИ,Обучение ИИ / Уроки,Урок 4.1 — Создание библиотеки,"Систематизация: папки, библиотека шаблонов, план работы (30 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 4.1 - Создание библиотеки.md
ИИ,Обучение ИИ / Уроки,Урок 4.2 — Ответы на вопросы,"Разбор накопившихся вопросов, решение трудностей (30 мин).",md,ИИ/Обучение - ИИ для недвижимости/Уроки/Урок 4.2 - Ответы на вопросы.md
ИИ,Обучение ИИ / Чек-листы,Подготовка к обучению,"Технические требования: компьютер, email, карта. Что иметь под рукой.",md,ИИ/Обучение - ИИ для недвижимости/Чек-листы/Подготовка к обучению.md
ИИ,Обучение ИИ / Чек-листы,Создание видео,"Пошагово: подготовка → режим → промпт → настройки → генерация.",md,ИИ/Обучение - ИИ для недвижимости/Чек-листы/Создание видео.md
ИИ,Обучение ИИ / Чек-листы,Публикация в Instagram,"Пошагово: подготовка → видео → Reels/Stories → описание → публикация.",md,ИИ/Обучение - ИИ для недвижимости/Чек-листы/Публикация в Instagram.md
ИИ,Обучение ИИ / Чек-листы,Регистрация в Kling AI,"Вход → аккаунт → подтверждение email → проверка кредитов.",md,ИИ/Обучение - ИИ для недвижимости/Чек-листы/Регистрация в Kling AI.md
ИИ,Обучение ИИ / Чек-листы,Создание фото,"Midjourney: подготовка → промпт → /imagine → выбор → скачивание.",md,ИИ/Обучение - ИИ для недвижимости/Чек-листы/Создание фото.md
ИИ,Обучение ИИ / Чек-листы,Регистрация в Midjourney,"Discord → сервер Midjourney → оплата подписки.",md,ИИ/Обучение - ИИ для недвижимости/Чек-листы/Регистрация в Midjourney.md
ИИ,Обучение ИИ / Шаблоны,Промпты для фото,"Готовые промпты для Midjourney: красивый дом, светлая квартира.",md,ИИ/Обучение - ИИ для недвижимости/Шаблоны/Промпты для фото.md
ИИ,Обучение ИИ / Шаблоны,Описания объектов,"Шаблон описания недвижимости: тип, размер, стиль/дизайн.",md,ИИ/Обучение - ИИ для недвижимости/Шаблоны/Описания объектов.md
ИИ,Обучение ИИ / Шаблоны,Промпты для видео,"Готовые промпты для Kling AI: обзор квартиры, обзор дома.",md,ИИ/Обучение - ИИ для недвижимости/Шаблоны/Промпты для видео.md
ИИ,Обучение ИИ / Тренер,Скрипты уроков,"Готовые фразы для тренера: тон, поддержка — медленно, просто, с похвалой.",md,ИИ/Обучение - ИИ для недвижимости/Материалы для тренера/Скрипты уроков.md
ИИ,Обучение ИИ / Тренер,FAQ для клиентов,"Ответы на «Что такое ИИ?», «Это сложно?» — простые формулировки.",md,ИИ/Обучение - ИИ для недвижимости/Материалы для тренера/FAQ для клиентов.md
Личный бренд,,Моя суть как продукта,"4 ключевых вопроса позиционирования. Суть — «Создатель, интегратор, трансформатор через практику».",md,Личный бренд/= Моя суть как продукта.md
Личный бренд,,Для чего я веду блог,"Миссия: честное пространство для покупателей/продавцов. Монетизация, клиенты, партнёры.",md,Личный бренд/= Для чего я веду блог.md
Личный бренд,,Для чего мне вести соцсети,"14 выгод: клиенты, консалтинг, партнёры/инвесторы, HR, спикерство, цифровой след.",md,Личный бренд/= Для чего мне вести соцсети.md
Личный бренд,,Tone of Voice,"Стиль «Умный Наставник». Правило «3П». 5 характеристик: прямой, конкретный, без воды.",md,Личный бренд/Tone of Voice.md
Личный бренд,,Медийный персонаж — B2B,"Для застройщиков: архитектор маркетинговых экосистем, стратегический партнёр.",md,Личный бренд/Мой медийный персонаж - Антон Цой.md
Личный бренд,,Медийный персонаж — B2C,"Для покупателей: проводник в мире недвижимости, защищающий от ошибок.",md,Личный бренд/Медийный персонаж для покупателей - Антон Цой.md
Личный бренд,,Инструкция — медийный персонаж,"5 этапов создания. Принцип: подписываются на персонажа, а не контент.",md,Личный бренд/Инструкция - Создание медийного персонажа.md
Личный бренд,,Моя история — от программирования к ИИ,"Сторителлинг: программирование → HoReCa → ИИ в недвижимости.",md,Личный бренд/Моя история - От программирования к ИИ в недвижимости.md
Личный бренд,,Instagram Storytelling — Обо мне,"Сценарий 13 слайдов: программист → ресторатор → агент → консультант.",md,Личный бренд/Instagram Storytelling - Обо мне.md
